indicativo,p_max,hr,nw_55,tm_min,ta_max,ts_min,nt_30,w_racha,np_100,nw_91,np_001,ta_min,w_rec,e,np_300,p_mes,w_med,nt_00,ti_max,tm_mes,tm_max,np_010,fecha,n_cub,n_des,n_nub
3170Y,,60.0,0.0,1.0,,11.6,0.0,,0.0,0.0,5.0,,150.0,70.0,0.0,7.2,6.0,17.0,9.2,8.8,16.5,2.0,01-11-2017,,,
3170Y,,80.0,0.0,5.0,,12.2,0.0,,1.0,0.0,17.0,,175.0,99.0,0.0,47.0,7.0,3.0,10.1,9.9,14.6,12.0,01-11-2018,,,
3170Y,,75.0,3.0,5.0,,14.0,0.0,,0.0,0.0,13.0,,256.0,93.0,0.0,28.6,11.0,5.0,8.3,9.3,13.5,9.0,01-11-2019,,,
3170Y,,79.0,1.0,5.3,,11.4,0.0,,1.0,0.0,11.0,,157.0,104.0,0.0,41.2,6.0,3.0,10.7,10.7,16.2,6.0,01-11-2020,,,
3170Y,,69.0,1.0,1.3,,10.1,0.0,,1.0,0.0,5.0,,156.0,73.0,0.0,17.8,7.0,13.0,6.5,7.9,14.4,3.0,01-11-2021,5.0,14.0,11.0
3170Y,,74.0,1.0,5.5,,12.8,0.0,,0.0,0.0,16.0,,197.0,102.0,0.0,34.6,8.0,1.0,11.3,11.1,16.7,8.0,01-11-2022,9.0,6.0,15.0
3170Y,,79.0,3.0,5.5,,12.7,0.0,,1.0,0.0,12.0,,200.0,107.0,1.0,57.2,9.0,5.0,11.3,10.8,16.1,5.0,01-11-2023,11.0,5.0,14.0
3170Y,,75.0,1.0,5.8,,11.1,0.0,,0.0,0.0,6.0,,150.0,107.0,0.0,3.2,5.0,2.0,10.0,11.8,17.8,1.0,01-11-2024,6.0,5.0,19.0
3170Y,,80.0,4.0,1.2,,11.4,0.0,,5.0,0.0,20.0,,232.0,80.0,0.0,106.0,10.0,13.0,1.1,5.9,10.5,14.0,01-12-2009,,,
3170Y,,77.0,2.0,1.4,,10.8,0.0,,1.0,0.0,14.0,,193.0,77.0,0.0,56.6,8.0,13.0,5.7,6.0,10.5,10.0,01-12-2010,,,
3170Y,,74.0,1.0,-0.5,,7.4,0.0,,0.0,0.0,4.0,,153.0,70.0,0.0,5.0,7.0,20.0,5.2,5.9,12.3,2.0,01-12-2011,,,
3170Y,,81.0,1.0,0.9,,10.2,0.0,,0.0,0.0,9.0,,148.0,79.0,0.0,7.0,6.0,17.0,4.0,6.0,11.2,3.0,01-12-2012,,,
3170Y,,72.0,1.0,-1.7,,7.0,0.0,,2.0,0.0,10.0,,172.0,64.0,0.0,55.2,7.0,23.0,7.6,5.2,12.0,6.0,01-12-2013,,,
3170Y,,73.0,0.0,-0.8,,6.8,0.0,,1.0,0.0,4.0,,148.0,70.0,0.0,17.4,6.0,19.0,9.4,6.0,12.8,2.0,01-12-2014,,,
3170Y,,,,,,,,,,,,,,,,,,,,,,,01-12-2015,,,
3170Y,,,,,,,,,,,,,,,,,3.0,,,,,,01-12-2016,,,
3170Y,,71.0,2.0,-1.1,,9.6,0.0,,1.0,0.0,5.0,,181.0,67.0,0.0,17.4,8.0,20.0,7.3,5.4,11.8,3.0,01-12-2017,,,
3170Y,,81.0,0.0,0.2,,6.8,0.0,,0.0,0.0,8.0,,98.0,79.0,0.0,11.6,4.0,19.0,8.1,6.7,13.2,3.0,01-12-2018,,,
3170Y,,79.0,4.0,3.7,,11.5,0.0,,1.0,0.0,11.0,,253.0,87.0,0.0,36.4,10.0,6.0,6.5,8.4,13.1,3.0,01-12-2019,,,
3170Y,,76.0,1.0,1.4,,12.1,0.0,,0.0,0.0,16.0,,201.0,78.0,0.0,19.6,9.0,11.0,6.9,6.3,11.1,8.0,01-12-2020,,,
3170Y,,77.0,2.0,1.7,,9.7,0.0,,0.0,0.0,9.0,,165.0,85.0,0.0,28.2,7.0,11.0,10.0,7.9,14.0,6.0,01-12-2021,9.0,8.0,13.0
3170Y,,86.0,0.0,5.7,,12.5,0.0,,4.0,0.0,17.0,,149.0,103.0,0.0,122.2,6.0,1.0,7.3,9.4,13.0,13.0,01-12-2022,17.0,5.0,9.0
3170Y,,79.0,0.0,-0.1,,10.6,0.0,,1.0,0.0,12.0,,116.0,77.0,0.0,26.6,5.0,19.0,8.1,6.1,12.3,3.0,01-12-2023,8.0,13.0,10.0
3170Y,,71.0,1.0,-0.4,,5.6,0.0,,0.0,0.0,8.0,,132.0,72.0,0.0,1.8,6.0,19.0,7.9,6.8,13.9,0.0,01-12-2024,4.0,12.0,15.0
