fecha;mag007;mag008;mag012;mag014
2010-10-03;4.0;26.0;32.0;53.0
2010-10-04;6.0;19.0;27.0;52.0
2010-10-05;29.0;41.0;85.0;30.0
2010-10-06;30.0;46.0;93.0;36.0
2010-10-07;7.0;35.0;45.0;52.0
2010-10-08;11.0;36.0;52.0;38.0
2010-10-09;4.0;24.0;31.0;43.0
2010-10-10;6.0;26.0;35.0;47.0
2010-10-11;12.0;35.0;54.0;29.0
2010-10-12;5.0;19.0;26.0;47.0
2010-10-13;21.0;38.0;70.0;33.0
2010-10-14;22.0;36.0;69.0;39.0
2010-10-15;14.0;36.0;56.0;42.0
2010-10-16;6.0;20.0;28.0;50.0
2010-10-17;4.0;13.0;19.0;58.0
2010-10-18;8.0;26.0;39.0;45.0
2010-10-19;30.0;44.0;90.0;26.0
2010-10-20;48.0;49.0;124.0;27.0
2010-10-21;35.0;46.0;100.0;33.0
2010-10-22;34.0;49.0;101.0;27.0
2010-10-23;27.0;45.0;86.0;36.0
2010-10-24;11.0;33.0;50.0;41.0
2010-10-25;3.0;13.0;18.0;62.0
2010-10-26;33.0;40.0;90.0;31.0
2010-10-27;56.0;55.0;141.0;19.0
2010-10-28;76.0;66.0;181.0;13.0
2010-10-29;31.0;44.0;90.0;32.0
2010-10-30;4.0;22.0;29.0;50.0
2010-10-31;3.0;14.0;19.0;62.0
2010-11-01;3.0;10.0;16.0;66.0
2010-11-02;7.0;21.0;31.0;52.0
2010-11-03;68.0;55.0;158.0;14.0
2010-11-04;57.0;41.0;128.0;25.0
2010-11-05;54.0;43.0;127.0;23.0
2010-11-06;28.0;45.0;89.0;21.0
2010-11-07;14.0;31.0;52.0;24.0
2010-11-08;6.0;24.0;33.0;53.0
2010-11-09;4.0;15.0;20.0;68.0
2010-11-10;8.0;29.0;41.0;45.0
2010-11-11;49.0;46.0;122.0;23.0
2010-11-12;60.0;47.0;139.0;15.0
2010-11-13;23.0;38.0;74.0;22.0
2010-11-14;6.0;30.0;39.0;34.0
2010-11-15;6.0;22.0;31.0;55.0
2010-11-16;45.0;45.0;114.0;27.0
2010-11-17;7.0;32.0;43.0;37.0
2010-11-18;37.0;41.0;97.0;38.0
2010-11-19;42.0;46.0;110.0;17.0
2010-11-20;5.0;24.0;31.0;53.0
2010-11-21;4.0;20.0;27.0;55.0
2010-11-22;17.0;36.0;62.0;39.0
2010-11-23;87.0;61.0;195.0;14.0
2010-11-24;21.0;35.0;67.0;26.0
2010-11-25;16.0;34.0;59.0;23.0
2010-11-26;8.0;27.0;39.0;45.0
2010-11-27;5.0;22.0;30.0;35.0
2010-11-28;18.0;33.0;61.0;30.0
2010-11-29;9.0;25.0;39.0;28.0
2010-11-30;24.0;35.0;72.0;22.0
2010-12-01;9.0;31.0;45.0;37.0
2010-12-02;12.0;34.0;53.0;35.0
2010-12-03;16.0;32.0;57.0;38.0
2010-12-04;13.0;32.0;53.0;29.0
